country,region,life_expectancy,wellbeing,happy_years,footprint,inequality_outcomes,adj_life_expectancy,adj_wellbeing,hpi_index,GDP,population
Sri Lanka,Asia Pacific,74.60,4.20,24.94,1.32,0.17,68.59,3.79,33.79,3350.69,20424000
Suriname,Americas,70.79,6.30,35.19,4.25,0.19,61.18,5.91,25.45,9422.27,528535
Swaziland,Sub Saharan Africa,48.91,4.90,13.63,2.01,0.41,31.81,4.44,15.54,3988.67,1231694
Sweden,Europe,81.85,7.60,57.43,7.25,0.06,79.12,7.42,28.03,57134.08,9519374
Switzerland,Europe,82.60,7.80,59.32,5.79,0.06,79.44,7.62,34.33,83208.69,7996861
Syria,Middle East and North Africa,70.39,3.20,14.73,1.51,0.30,60.19,2.61,19.10,2079.99,21427155
Tajikistan,Post-communist,69.01,4.50,22.18,0.91,0.26,52.98,4.34,34.25,962.44,7930929
Tanzania,Sub Saharan Africa,63.54,4.00,16.20,1.32,0.33,47.67,3.56,22.14,827.53,48645709
Thailand,Asia Pacific,74.09,6.30,38.62,2.66,0.15,66.35,5.98,37.29,5917.92,67164130
Togo,Sub Saharan Africa,58.60,2.87,8.97,1.13,0.43,39.64,2.42,13.23,580.50,6745581
Trinidad and Tobago,Americas,70.12,6.40,34.35,7.92,0.21,58.44,6.04,15.72,18322.32,1341579
Tunisia,Middle East and North Africa,74.64,4.50,25.16,2.34,0.22,65.54,4.00,26.20,4187.54,10777500
Turkey,Middle East and North Africa,74.72,5.30,31.17,3.33,0.19,66.16,4.87,26.42,10646.04,74099255
Turkmenistan,Post-communist,65.30,5.50,23.98,5.47,0.31,48.33,5.12,14.61,6797.72,5172941
Uganda,Sub Saharan Africa,57.14,4.30,13.82,1.24,0.41,36.76,3.92,19.42,656.40,35400620
Ukraine,Post-communist,70.32,5.00,28.26,2.84,0.17,64.19,4.56,26.38,3855.42,45593300
United Kingdom,Europe,80.39,6.90,49.10,4.94,0.09,76.79,6.55,31.91,41294.51,63700300
United States of America,Americas,78.81,7.00,46.85,8.22,0.13,73.98,6.49,20.75,51456.66,314112078
Uruguay,Americas,76.89,6.40,39.42,2.91,0.18,69.58,5.82,36.13,15127.64,3396753
Uzbekistan,Post-communist,68.17,6.00,27.89,2.32,0.30,51.58,5.56,29.13,1719.04,29774500
Vanuatu,Asia Pacific,71.34,6.47,34.90,1.86,0.22,60.32,5.94,40.57,3158.42,247498
Venezuela,Americas,73.89,7.10,41.49,3.57,0.19,65.45,6.50,33.57,12771.60,29854238
Vietnam,Asia Pacific,75.48,5.50,32.77,1.65,0.19,64.79,5.22,40.31,1754.55,88809200
Yemen,Middle East and North Africa,63.34,4.10,15.20,1.03,0.39,44.72,3.56,22.75,1289.03,24882792
Zambia,Sub Saharan Africa,58.41,5.00,16.67,0.99,0.41,38.67,4.47,25.22,1686.62,14786581
Zimbabwe,Sub Saharan Africa,53.67,5.00,16.43,1.37,0.37,36.91,4.61,22.11,850.83,14565482
